time, room, humidity, temp_celcius, temp_fahrenheit, temp_index_celcius, temp_index_fahrenheit
2023:01:11 18:59:20, living, 65.0, 19.3, 66.74, 18.98, 66.17
2023:01:11 19:09:20, living, 65.0, 19.2, 66.56, 18.87, 65.97
2023:01:11 19:19:21, living, 65.0, 19.2, 66.56, 18.87, 65.97
2023:01:11 19:29:21, living, 65.0, 19.1, 66.38, 18.76, 65.77
2023:01:11 19:39:21, living, 65.0, 19.1, 66.38, 18.76, 65.77
2023:01:11 19:49:26, living, 66.0, 19.1, 66.38, 18.79, 65.82
2023:01:11 19:59:26, living, 66.0, 18.9, 66.02, 18.57, 65.42
2023:01:11 20:09:27, living, 66.0, 18.9, 66.02, 18.57, 65.42
2023:01:11 20:19:28, living, 66.0, 18.8, 65.84, 18.46, 65.23
2023:01:11 20:29:28, living, 66.0, 18.8, 65.84, 18.46, 65.23
2023:01:11 20:39:34, living, 66.0, 18.7, 65.66, 18.35, 65.03
2023:01:11 20:49:34, living, 66.0, 18.7, 65.66, 18.35, 65.03
2023:01:11 20:59:35, living, 65.0, 18.6, 65.48, 18.21, 64.78
2023:01:11 21:09:35, living, 65.0, 18.6, 65.48, 18.21, 64.78
2023:01:11 21:19:35, living, 65.0, 18.5, 65.3, 18.1, 64.59
2023:01:11 21:29:36, living, 65.0, 18.5, 65.3, 18.1, 64.59
2023:01:11 21:39:37, living, 65.0, 18.5, 65.3, 18.1, 64.59
2023:01:11 21:49:37, living, 65.0, 18.4, 65.12, 17.99, 64.39
2023:01:11 21:59:38, living, 65.0, 18.4, 65.12, 17.99, 64.39
2023:01:11 22:09:40, living, 65.0, 18.4, 65.12, 17.99, 64.39
2023:01:11 22:19:41, living, 64.0, 18.5, 65.3, 18.08, 64.54
2023:01:11 22:29:41, living, 64.0, 18.7, 65.66, 18.3, 64.93
2023:01:11 22:39:41, living, 64.0, 18.7, 65.66, 18.3, 64.93
2023:01:11 22:49:42, living, 64.0, 18.8, 65.84, 18.41, 65.13
2023:01:11 22:59:42, living, 64.0, 18.8, 65.84, 18.41, 65.13
2023:01:11 23:09:42, living, 64.0, 18.8, 65.84, 18.41, 65.13
2023:01:11 23:19:43, living, 64.0, 18.8, 65.84, 18.41, 65.13
2023:01:11 23:29:43, living, 64.0, 18.8, 65.84, 18.41, 65.13
2023:01:11 23:39:44, living, 64.0, 18.8, 65.84, 18.41, 65.13
2023:01:11 23:49:44, living, 64.0, 18.8, 65.84, 18.41, 65.13
2023:01:11 23:59:44, living, 64.0, 18.8, 65.84, 18.41, 65.13
2023:01:12 00:09:45, living, 64.0, 18.9, 66.02, 18.52, 65.33
2023:01:12 00:19:45, living, 64.0, 18.9, 66.02, 18.52, 65.33
